Device,Brand,Model,OS,Age_Months,Daily_Usage_Hours,Failure_After_Months,Usage_Type,Season,RAM_GB,Storage_GB,Battery_%_At_Failure,Warranty_Status,Previous_Repairs,Symptom1,Symptom2,Symptom3,Faulty_Component,Severity,Repair_Cost_INR,Repair_Time_Days,Solution
Mobile,Nothing,Phone 1,Android 12,55,3,52,Content Creator,Autumn,8,64,61,Under Warranty,1,No Network,SIM Not Detected,Network Dropping,SIM Card Slot,Medium,1124,2,Clean SIM slot. Try different SIM. Replace SIM tray if bent.
Printer,Brother,HL-L3270CDW,Windows 10,24,1,7,Office,Spring,0,0,0,Under Warranty,4,Printer Not Starting,Error Code On Display,All Lights Blinking,Main Board,Critical,8342,5,Factory reset. Flash firmware. Replace main board if reset fails.
Tablet,Realme,Pad X,Android 13,25,11,17,Healthcare,Monsoon,3,512,13,Under Warranty,3,Cracked Screen,Touch Not Working,Display Flickering,Display,High,6000,2,Replace display and digitizer assembly.
Mobile,Realme,GT 5,iOS 15,51,6,34,Normal,Winter,6,1024,49,Under Warranty,0,Poor Backup,Heating While Charging,Battery Percentage Jumping,Battery,Medium,2283,3,"Recalibrate battery. If issue persists, replace battery."
Printer,HP,Color LaserJet Pro M255dw,macOS Sonoma,55,10,50,Normal,Monsoon,0,0,0,Extended Warranty,3,Light Print,Toner Low Warning,Streaks On Print,Toner Cartridge,Low,2986,1,Shake toner cartridge gently. Replace if empty.
Mobile,OnePlus,9 Pro,Android 12,18,16,16,Content Creator,Autumn,6,128,81,Under Warranty,0,Low Volume,Distorted Audio,Crackling Sound,Speaker,Low,1890,1,Clean speaker. Update audio drivers. Replace if faulty.
Mobile,Oppo,Find X7,iOS 16,53,10,39,Developer,Summer,16,128,60,Under Warranty,4,Slow Charging,Gets Hot While Charging,Charger Gets Hot,Charging IC,High,3736,3,"Try original charger. If issue persists, replace Charging IC."
Laptop,HP,Victus 15,macOS Ventura,45,14,34,Developer,Summer,16,256,85,Expired,0,Slow Boot,Application Lag,Disk Health Alert,SSD,Medium,4900,3,Run SMART diagnostics. Defrag if HDD. Replace SSD if health below 70%.
Laptop,HP,ProBook 450 G10,Ubuntu 22.04,81,15,77,Office,Spring,16,512,64,Under Warranty,4,Keys Not Working,Sticky Keys,Random Characters Typing,Keyboard,Medium,3655,3,Clean keyboard with compressed air. Replace keyboard if keys are physically damaged.
Laptop,MSI,Cyborg 15,Windows 10,75,16,65,Business,Autumn,64,512,34,Under Warranty,1,Fan Always Running,Loud Fan Noise,High CPU Temperature,Cooling Fan,Medium,828,1,Clean vents. Update BIOS. Replace thermal paste.
Smartwatch,Garmin,Epix Pro Gen 2,Wear OS 3,79,7,62,Office,Summer,1,8,91,Under Warranty,4,Inaccurate Reading,Sensor Not Working,No HR Data,Heart Rate Sensor,Medium,961,3,Clean optical sensor. Wear watch correctly. Replace sensor module if faulty.
Desktop,MSI,MAG Codex X5,Windows 11 Home,83,16,66,Student,Spring,8,2048,0,Expired,3,No Internet,LAN Not Detected,Slow Network,Network Card,Medium,1057,1,Update NIC drivers. Replace network card if faulty.
Desktop,Custom Build,Intel Core i5-13600K Build,Windows 11 Pro,22,12,13,Office,Monsoon,128,4096,0,Expired,2,System Off Suddenly,Burn Smell,Power Loss,PSU,Critical,4485,3,Replace Power Supply Unit immediately. Do not use until replaced — fire risk.
Smartwatch,Fitbit,Versa 4,WatchOS 10,75,6,72,Education,Monsoon,1,8,51,Extended Warranty,1,No GPS Signal,Inaccurate Location,GPS Not Locking,GPS Module,Medium,2010,4,Update firmware. Sync with phone. Replace GPS module if hardware fault.
Mobile,Realme,11 Pro,Android 13,82,4,70,Developer,Winter,6,128,43,Extended Warranty,3,Green Tint,Dead Pixels,Burn In,Display,Medium,9925,3,Replace display panel. Burn-in not covered under warranty.
Mobile,Xiaomi,14,iOS 17,20,13,3,Student,Summer,12,1024,37,Extended Warranty,4,Face ID Not Working,Cannot Setup Face ID,Recognition Failure,Face ID Sensor,Medium,4993,4,Recalibrate Face ID. Replace face recognition module if hardware fault.
Laptop,Samsung,Galaxy Book 4,Windows 10,52,4,41,Student,Monsoon,8,512,86,Extended Warranty,2,Storage Not Detected,Boot Failure,BIOS Error,SSD,High,3757,2,Check SATA/NVMe connection. Replace SSD. Reinstall OS.
Smart TV,LG,OLED B3,Google TV,71,5,69,Developer,Monsoon,1,16,0,Extended Warranty,1,WiFi Not Connecting,Slow Streaming,Network Error,WiFi Module,Medium,1211,2,Restart router and TV. Update firmware. Replace WiFi module.
Mobile,OnePlus,12R,Android 13,52,14,35,Normal,Spring,8,512,80,Extended Warranty,1,No Sound,Calls OK,Headphones Work,Speaker,Medium,1910,1,"Clean speaker grille. If no improvement, replace speaker unit."
Router,Tenda,AC23,DD-WRT,19,7,1,Student,Monsoon,0,0,0,Extended Warranty,3,Router Not Starting,No Power LED,Keeps Restarting,Power Adapter,High,750,1,Replace router power adapter with matching voltage/ampere specs.
Mobile,Samsung,Galaxy M34,iOS 16,68,5,59,Content Creator,Summer,8,1024,79,Under Warranty,0,Low Volume,Distorted Audio,Crackling Sound,Speaker,Low,2456,2,Clean speaker. Update audio drivers. Replace if faulty.
Mobile,Xiaomi,12 Pro,iOS 17,19,2,15,Education,Autumn,8,64,12,Extended Warranty,0,Fast Battery Drain,Battery Swelling,Random Shutdown,Battery,High,2392,2,Replace battery at authorized service center. Cost varies by model.
Router,TP-Link,Deco XE200,AsusWRT,16,7,9,Gaming,Spring,0,0,0,Extended Warranty,0,No Wired Connection,Port Not Detected,Slow LAN Speed,LAN Port,Medium,1817,3,Check ethernet cable. Try different LAN port. Replace router if multiple ports fail.
Mobile,Samsung,Galaxy S24,Android 12,81,16,67,Content Creator,Autumn,4,256,72,Under Warranty,2,Slow Charging,Gets Hot While Charging,Charger Gets Hot,Charging IC,High,4135,5,"Try original charger. If issue persists, replace Charging IC."
Smart TV,LG,UQ9000,Android TV 11,35,10,31,Developer,Monsoon,2,32,0,Expired,1,WiFi Not Connecting,Slow Streaming,Network Error,WiFi Module,Medium,2482,2,Restart router and TV. Update firmware. Replace WiFi module.
Mobile,Realme,GT Neo 5,iOS 15,79,2,77,Content Creator,Autumn,8,1024,9,Expired,3,Cracked Screen,Touch Not Working,Display Broken,Display,High,10084,1,Replace display + digitizer assembly.
Desktop,Apple,iMac 24 M3,Windows 10 Pro,29,8,16,Gaming,Summer,128,4096,0,Extended Warranty,4,Clicking Sound,Slow Performance,File Corruption,HDD,High,3982,1,Backup data immediately. Replace HDD. Run bad sector scan.
Mobile,Motorola,Razr 40 Ultra,Android 12,50,16,33,Education,Monsoon,6,128,18,Under Warranty,0,Fast Battery Drain,Battery Swelling,Random Shutdown,Battery,High,3243,1,Replace battery at authorized service center. Cost varies by model.
Desktop,Acer,Nitro N50,Windows 10 Pro,66,9,54,Office,Winter,64,2048,0,Under Warranty,0,No Audio,Crackling Sound,Audio Device Not Found,Sound Card,Low,1438,1,Update audio drivers. Check connections. Replace sound card if needed.
Mobile,Realme,Narzo 60 Pro,iOS 16,35,3,28,Education,Spring,6,64,51,Extended Warranty,1,Bluetooth Not Connecting,Drops Connection,Cannot Pair,Bluetooth Module,Low,1411,4,Toggle Bluetooth off/on. Clear paired devices. Factory reset if issue persists.
Laptop,MSI,Prestige 16,macOS Ventura,66,15,60,Normal,Winter,16,512,52,Extended Warranty,0,Display Artifacts,Screen Flickering,Game Crashes,GPU,High,8655,7,Update GPU drivers. Clean GPU. Replace dedicated GPU if discrete card faulty.
Desktop,Custom Build,Intel Core i5-13600K Build,Windows 10 Pro,33,2,29,Education,Winter,32,1024,0,Expired,3,POST Failure,Beep Sound,Random Blue Screen,RAM,High,2615,1,Reseat RAM. Test each stick individually. Replace faulty module.
Desktop,Asus,TUF Gaming GT501,Fedora 38,58,15,44,Gaming,Winter,8,1024,0,Expired,2,Thermal Warning,Loud Noise,CPU Overheating,CPU Fan,High,1055,1,Clean CPU fan and heatsink. Replace thermal paste. Replace fan if noisy.
Desktop,Custom Build,Intel Core i9-13900K Build,Linux Mint 21,72,9,63,Office,Monsoon,128,256,0,Extended Warranty,4,System Off Suddenly,Burn Smell,Power Loss,PSU,Critical,4253,3,Replace Power Supply Unit immediately. Do not use until replaced — fire risk.
Laptop,Apple,MacBook Air M2,Windows 11 Home,20,9,4,Developer,Winter,32,256,8,Expired,2,Display Artifacts,Screen Flickering,Game Crashes,GPU,High,11313,5,Update GPU drivers. Clean GPU. Replace dedicated GPU if discrete card faulty.
Mobile,Xiaomi,12 Pro,iOS 15,54,6,51,Developer,Autumn,12,64,94,Extended Warranty,1,Fast Battery Drain,Battery Swelling,Random Shutdown,Battery,High,1866,3,Replace battery at authorized service center. Cost varies by model.
Laptop,Lenovo,LOQ 15,Windows 10,32,10,22,Healthcare,Autumn,16,2048,75,Expired,3,Thermal Throttling,High CPU Temp,Sudden Shutdown Under Load,Thermal Paste,Medium,657,1,Repaste CPU and GPU with high-quality thermal compound.
Mobile,Google,Pixel 8,Android 12,8,13,6,Normal,Winter,6,256,91,Extended Warranty,3,Face ID Not Working,Cannot Setup Face ID,Recognition Failure,Face ID Sensor,Medium,3142,4,Recalibrate Face ID. Replace face recognition module if hardware fault.
Smart TV,LG,OLED C3,Android TV 11,43,10,33,Content Creator,Monsoon,1,16,0,Extended Warranty,0,HDMI Not Working,No Signal From Console,HDMI Port Loose,HDMI Port,Medium,2851,1,Try different HDMI cable. Test different port. Replace HDMI port if damaged.
Mobile,Samsung,Galaxy A14,iOS 17,56,6,50,Gaming,Spring,8,128,30,Under Warranty,3,Cracked Screen,Touch Not Working,Display Broken,Display,High,14535,1,Replace display + digitizer assembly.
Desktop,Custom Build,Intel Core i7-13700K Build,Windows 11 Home,13,10,8,Student,Autumn,8,512,0,Expired,0,No Boot,USB Not Working,Random Restart,Motherboard,Critical,19276,4,Check all connections. Replace CMOS battery. Motherboard may need replacement.
Router,Jio,JioFiber GigaGateway,AsusWRT,74,5,62,Normal,Winter,0,0,0,Under Warranty,4,Weak WiFi Signal,Dead Zones,Slow Speed,WiFi Antenna,High,1277,2,Reposition router to central location. Upgrade to WiFi extender or mesh system.
Laptop,Dell,XPS 15 9530,Windows 11 Pro,2,15,1,Office,Autumn,32,256,14,Under Warranty,2,Charging Failure,Adapter Fault,Power Fluctuation,Charger,Medium,2043,1,Try different power outlet. Replace charger/adapter. Check charging port.
Mobile,Xiaomi,POCO M5,iOS 16,65,16,64,Student,Monsoon,8,1024,30,Extended Warranty,4,Not Recognizing,Slow Response,Sensor Not Working,Fingerprint Sensor,Low,1028,2,Clean sensor. Re-register fingerprints. Replace sensor if faulty.
Smartwatch,Garmin,Venu 3,Wear OS 3,56,14,53,Education,Autumn,2,32,70,Expired,1,Inaccurate Reading,Sensor Not Working,No HR Data,Heart Rate Sensor,Medium,3281,3,Clean optical sensor. Wear watch correctly. Replace sensor module if faulty.
Mobile,Realme,Narzo 60,iOS 16,67,1,49,Content Creator,Summer,6,128,18,Expired,0,Low Volume,Distorted Audio,Crackling Sound,Speaker,Low,661,1,Clean speaker. Update audio drivers. Replace if faulty.
Mobile,Oppo,Find X7,Android 13,42,16,40,Gaming,Spring,8,1024,15,Under Warranty,1,Slow Charging,Gets Hot While Charging,Charger Gets Hot,Charging IC,High,4115,2,"Try original charger. If issue persists, replace Charging IC."
Mobile,Realme,GT 5 Pro,iOS 15,46,13,43,Gaming,Winter,12,1024,12,Under Warranty,3,Low Volume,Distorted Audio,Crackling Sound,Speaker,Low,1406,2,Clean speaker. Update audio drivers. Replace if faulty.
Smart TV,MI,Q2 QLED,WebOS 22,13,10,12,Office,Spring,4,16,0,Extended Warranty,0,Remote Not Working,Slow Response,IR Not Detected,Remote Sensor,Low,1812,1,Replace remote batteries. Try universal remote. Replace IR sensor if faulty.
Laptop,Microsoft,Surface Pro 9,Windows 11 Home,16,5,14,Content Creator,Autumn,8,2048,34,Under Warranty,3,Camera Not Working,Blurry Video,Black Screen In Camera,Webcam,Low,506,3,Update camera drivers. Check privacy shutter. Replace webcam module.
Desktop,Lenovo,Legion Tower 7i,Windows 11 Pro,34,1,20,Student,Spring,128,256,0,Expired,3,Poor Airflow,High Case Temperature,Loud Case Noise,Cabinet Fan,Low,1374,1,Clean case fans. Add additional fans. Optimize cable management.
Mobile,Xiaomi,Redmi 12,Android 13,76,10,71,Normal,Spring,4,512,86,Extended Warranty,3,Low Volume,Distorted Audio,Crackling Sound,Speaker,Low,1133,1,Clean speaker. Update audio drivers. Replace if faulty.
Laptop,HP,Envy x360 15,Linux Mint,80,7,67,Normal,Monsoon,8,256,30,Expired,3,Lines On Screen,Display Flickering,Backlight Failure,Display,High,13041,5,Check display cable connection. Replace display panel if faulty.
Smartwatch,Apple,Watch SE 2nd Gen 44mm,Fitbit OS 6,20,11,18,Business,Monsoon,1,4,60,Extended Warranty,1,Fast Battery Drain,Not Charging,Battery Percentage Dropping Fast,Battery,High,1350,2,Calibrate battery. Reduce AOD and GPS usage. Replace battery if capacity below 70%.
Laptop,MSI,Titan GT77 HX,macOS Ventura,53,6,38,Gaming,Monsoon,8,256,32,Expired,3,Keys Not Working,Sticky Keys,Random Characters Typing,Keyboard,Medium,3552,3,Clean keyboard with compressed air. Replace keyboard if keys are physically damaged.
Laptop,MSI,Cyborg 15,Windows 10,20,13,19,Student,Summer,32,2048,30,Extended Warranty,4,Charging Failure,Adapter Fault,Power Fluctuation,Charger,Medium,2870,1,Try different power outlet. Replace charger/adapter. Check charging port.
Mobile,Samsung,Galaxy Z Fold 5,iOS 16,10,11,7,Healthcare,Spring,6,1024,17,Expired,0,WiFi Dropping,Slow WiFi,Cannot Connect,WiFi Module,Medium,3371,3,Forget network and reconnect. Update firmware. Replace WiFi module if issue persists.
Mobile,Oppo,A98,Android 12,13,11,5,Normal,Summer,6,256,58,Expired,2,Not Recognizing,Slow Response,Sensor Not Working,Fingerprint Sensor,Low,2979,2,Clean sensor. Re-register fingerprints. Replace sensor if faulty.
Desktop,HP,EliteDesk 800 G9,Windows 10 Pro,73,13,62,Gaming,Summer,32,4096,0,Under Warranty,3,Long Boot Time,Disk Health Alert,Storage Not Detected,SSD,High,2532,4,Run CrystalDiskInfo. Replace SSD if health critical. Backup data immediately.
Router,Airtel,Airtel Xstream Box,AsusWRT,19,11,8,Office,Winter,0,0,0,Expired,1,Websites Not Loading,Slow DNS Resolution,Specific Sites Blocked,DNS Issue,Low,0,1,Change DNS to 8.8.8.8 (Google) or 1.1.1.1 (Cloudflare) in router settings.
Desktop,Dell,XPS 8960,Ubuntu 22.04,79,5,66,Developer,Summer,16,2048,0,Under Warranty,4,Thermal Warning,Loud Noise,CPU Overheating,CPU Fan,High,966,1,Clean CPU fan and heatsink. Replace thermal paste. Replace fan if noisy.
Mobile,Apple,iPhone 16 Pro Max,iOS 15,67,8,64,Gaming,Monsoon,4,1024,88,Extended Warranty,3,Flickering Screen,Lines On Screen,Touch OK,Display,High,3854,3,Replace AMOLED display panel. Use original parts for best quality.
Smartwatch,Garmin,Epix Pro Gen 2,WatchOS 10,35,13,20,Normal,Autumn,1,16,56,Extended Warranty,2,Call Audio Not Clear,Voice Assistant Not Working,Mic Not Detected,Microphone,Low,1596,2,Clean microphone opening. Replace microphone module.
Mobile,Samsung,Galaxy F54,Android 12,50,7,45,Education,Spring,12,256,31,Extended Warranty,2,Voice Breaks,Recorder Not Working,Calls Connected,Microphone,Medium,1823,2,Clean microphone. Replace microphone module if issue persists.
Smartwatch,Amazfit,Band 7,Fitbit OS 6,72,4,63,Normal,Monsoon,1,16,86,Under Warranty,3,SpO2 Not Reading,Sensor Error,Blood Oxygen Inaccurate,SpO2 Sensor,Medium,866,2,Clean sensor. Update firmware. Replace SpO2 sensor module.
Desktop,MSI,Trident AS,Windows 10 Pro,76,15,75,Developer,Spring,32,1024,0,Under Warranty,2,Date Reset On Boot,BIOS Settings Lost,Boot Error,CMOS Battery,Low,68,1,Replace CMOS battery (CR2032). Reconfigure BIOS settings.
Desktop,Asus,ROG Strix GT15,Linux Mint 21,67,16,65,Gaming,Monsoon,128,4096,0,Under Warranty,0,System Shutdown Under Load,Thermal Throttling,High All-Core Temp,Cooling System,High,2929,2,Clean entire cooling system. Add case fans. Repaste CPU and GPU.
Smartwatch,MI,Smart Band 8 Pro,RTOS,53,14,46,Education,Summer,2,4,6,Expired,3,Call Audio Not Clear,Voice Assistant Not Working,Mic Not Detected,Microphone,Low,1116,2,Clean microphone opening. Replace microphone module.
Desktop,HP,EliteDesk 800 G9,Windows 10 Pro,51,15,46,Developer,Autumn,64,256,0,Under Warranty,3,System Shutdown Under Load,Thermal Throttling,High All-Core Temp,Cooling System,High,703,1,Clean entire cooling system. Add case fans. Repaste CPU and GPU.
Mobile,OnePlus,12R,iOS 17,10,13,7,Normal,Spring,8,256,53,Under Warranty,1,Not Charging,Adapter OK,Battery Healthy,Charging IC,High,4808,2,Replace Charging IC chip — requires motherboard-level repair.
Mobile,Realme,Narzo 60,iOS 17,73,13,57,Office,Autumn,16,64,56,Extended Warranty,4,Cracked Screen,Touch Not Working,Display Broken,Display,High,5221,2,Replace display + digitizer assembly.
Mobile,Oppo,Reno 10 Pro,iOS 17,3,13,1,Education,Monsoon,16,128,16,Expired,1,Camera Not Opening,Autofocus Failure,Photos Not Saving,Camera,Medium,4848,2,Clear app data. Factory reset. Replace camera if hardware issue.
Desktop,Custom Build,AMD Ryzen 7 7700X Build,Fedora 38,56,12,52,Normal,Monsoon,32,256,0,Expired,1,Game Crashes,Visual Glitches,High GPU Temp,GPU,High,9850,2,Clean GPU fan. Repaste GPU. Update drivers. Replace GPU if artifacts persist.
Laptop,HP,Dragonfly Pro,macOS Sonoma,23,15,20,Normal,Summer,16,512,9,Expired,3,Cursor Jumping,Touchpad Not Responding,Click Not Working,Touchpad,Low,1507,1,Update touchpad drivers. Adjust sensitivity. Replace touchpad if hardware fault.
Laptop,Dell,Alienware m18,Windows 11 Home,1,14,1,Healthcare,Summer,16,2048,90,Under Warranty,1,Poor Backup,Battery Swelling,Heating,Battery,Medium,5936,1,Replace laptop battery. Use only manufacturer-approved battery.
Printer,Canon,imageCLASS MF445dw,macOS Sonoma,9,2,4,Gaming,Summer,0,0,0,Under Warranty,2,Printer Offline,Cannot Print Wirelessly,Network Not Found,WiFi Module,Medium,844,1,Reset network settings. Reconnect to WiFi. Update printer firmware.
Mobile,Oppo,Reno 11,Android 12,31,16,22,Content Creator,Summer,16,128,93,Extended Warranty,4,Not Charging,Adapter OK,Battery Healthy,Charging IC,High,2706,2,Replace Charging IC chip — requires motherboard-level repair.
Laptop,Asus,ROG Zephyrus G14,Windows 11 Pro,16,2,9,Normal,Winter,64,256,91,Under Warranty,3,Overheating,Fan Noise,Auto Shutdown,Cooling Fan,High,2244,2,Clean dust from fan/heatsink. Replace thermal paste. Replace fan if faulty.
Tablet,Lenovo,Tab P12 Pro,Android 13,65,2,55,Healthcare,Winter,6,128,46,Extended Warranty,4,Not Powering On,Loop Restart,Touch Completely Dead,Motherboard,Critical,12354,8,Motherboard replacement required. Visit authorized service center.
Smart TV,Samsung,Neo QLED 4K QN95C,WebOS 23,69,7,51,Normal,Spring,2,8,0,Under Warranty,1,HDMI Not Working,No Signal From Console,HDMI Port Loose,HDMI Port,Medium,1517,3,Try different HDMI cable. Test different port. Replace HDMI port if damaged.
Desktop,Acer,Nitro N50,Windows 10 Pro,1,3,1,Student,Winter,64,1024,0,Expired,4,Poor Airflow,High Case Temperature,Loud Case Noise,Cabinet Fan,Low,371,1,Clean case fans. Add additional fans. Optimize cable management.
Mobile,OnePlus,9 Pro,iOS 16,44,11,36,Content Creator,Autumn,8,256,62,Expired,4,Blurry Photos,Camera App Crash,Black Screen In Camera,Camera,Medium,7720,1,"Clear camera cache. If issue persists, replace camera module."
Mobile,Xiaomi,POCO F5 Pro,iOS 16,58,6,40,Office,Summer,16,64,57,Extended Warranty,2,Low Volume,Distorted Audio,Crackling Sound,Speaker,Low,967,2,Clean speaker. Update audio drivers. Replace if faulty.
Laptop,Apple,MacBook Air M2,macOS Ventura,41,14,28,Gaming,Winter,64,256,73,Under Warranty,2,Charging Failure,Adapter Fault,Power Fluctuation,Charger,Medium,3120,1,Try different power outlet. Replace charger/adapter. Check charging port.
